rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
228,Tyramine,5610,4859,food-flavor,amine,,,,
229,Dimethyl sulfide,1068,4856,scent-aroma,other,,,,
230,Ketotifen,3827,4846,otc-medicine,otc,yes,,,
231,S-Adenosyl methionine,34755,4812,body-endogenous,other,,yes,,
232,Linalool,6549,4799,scent-aroma,terpene,,,,
233,Tryptamine,1150,4748,body-endogenous,amine,,yes,,
234,Trisodium citrate,6224,4732,food-flavor,organic-acid,,,,
235,Deoxyribose,439576,4685,body-endogenous,sugar,,,,
236,Cinnamaldehyde,637511,4645,food-flavor,aldehyde,,,,
237,Allicin,65036,4639,plant-compound,other,,,,
238,Tetrahydrocannabinolic acid,98523,4639,plant-compound,terpenoid,,yes,,
239,Allulose,90008,4608,sweetener,sugar,,,yes,
240,Pyruvic acid,1060,4570,body-endogenous,organic-acid,,,,
241,Calcitriol,5280453,4558,nutrient-vitamin,vitamin,,yes,,
242,Docusate,23673837,4505,otc-medicine,otc,yes,,,
243,Pyridoxine,1054,4492,nutrient-vitamin,vitamin,,,,
244,Cimetidine,2756,4452,otc-medicine,otc,yes,,,
245,Ribose,10975657,4441,body-endogenous,sugar,,,yes,
246,Squalene,638072,4351,plant-compound,terpene,,,,
247,Calcium oxalate,33005,4345,body-endogenous,organic-acid,,,,
248,Trimethylamine N-oxide,1145,4292,body-endogenous,amine,,,,
249,Estradiol (medication),9811784,4230,body-endogenous,steroid-hormone,,yes,,
250,Sulforaphane,5350,4177,plant-compound,other,,,,
251,Apigenin,5280443,4171,plant-compound,flavonoid,,,,
252,Methanethiol,878,4167,scent-aroma,other,,,,
253,Aluminium hydroxide,10176082,4166,otc-medicine,otc,yes,,,
254,Isomalt,3034828,4164,sweetener,sugar-alcohol,,,,
255,Thyroxine,853,4138,body-endogenous,other,,yes,,
256,Lauric acid,3893,4114,plant-compound,fatty-acid,,,,
257,Uracil,1174,4109,body-endogenous,nucleobase,,,,
258,Erucic acid,5281116,4101,plant-compound,fatty-acid,,,,
259,Panthenol,4678,4083,nutrient-vitamin,vitamin,,,,
260,Tannic acid,16129778,4079,plant-compound,phenolic,,,,
261,Catechin,9064,4055,plant-compound,flavonoid,,,,
262,Putrescine,1045,4048,body-endogenous,amine,,,,
263,Magnesium carbonate,11029,4022,nutrient-vitamin,other,,yes,,
