rank,molecule,pubchem_cid,wikipedia_views_monthly,bucket,family,is_otc,dual_use,added,handling
30,Tetrahydrocannabinol,16078,29102,plant-compound,terpenoid,,yes,,
31,Adenosine triphosphate,5957,28694,body-endogenous,nucleobase,,,,
32,Vitamin C,54670067,28694,nutrient-vitamin,vitamin,,,,
33,Quinine,3034034,28665,plant-compound,alkaloid,,yes,,
34,Magnesium glycinate,84645,28283,nutrient-vitamin,other,,,,
35,Isopropyl alcohol,3776,27872,everyday-chemistry,alcohol,yes,,yes,add-core
36,Formaldehyde,712,26719,everyday-chemistry,aldehyde,,,yes,add-core
37,Sodium chloride,5234,25668,food-flavor,other,,,,
38,Oxytocin,439302,25512,body-endogenous,peptide,,yes,,
39,Glycerol,753,25477,food-flavor,sugar-alcohol,,,,
40,Methanol,887,25415,everyday-chemistry,alcohol,,,yes,add-core
41,Aspartame,134601,24441,sweetener,sweetener,,,,
42,Nicotinamide adenine dinucleotide,925,24030,body-endogenous,nucleobase,,,,
43,Citric acid,311,23881,food-flavor,organic-acid,,,,
44,Salicylic acid,338,23836,otc-medicine,otc,yes,,,
45,Melatonin,896,23598,body-endogenous,amine,yes,yes,,
46,Insulin,118984375,23484,body-endogenous,peptide,,yes,,
47,Taurine,1123,23308,body-endogenous,amino-acid,,,,
48,Acetone,180,22860,everyday-chemistry,ketone,,,yes,add-core
49,Capsaicin,1548943,22842,plant-compound,phenolic,,yes,,
50,Cholesterol,5997,22298,body-endogenous,steroid-hormone,,,,
51,Coenzyme Q10,5281915,22293,nutrient-vitamin,other,,,,
52,Allura Red AC,33258,22223,food-flavor,other,,,,
53,Erythritol,222285,22198,sweetener,sugar-alcohol,,,,
54,Famotidine,3325,22110,otc-medicine,otc,yes,,,
55,Loratadine,3957,21766,otc-medicine,otc,yes,,,
56,Calcium carbonate,10112,21450,nutrient-vitamin,other,yes,yes,,
57,Sucrose,5988,21205,sweetener,sugar,,,,
58,Sodium hypochlorite,23665760,20675,everyday-chemistry,inorganic,,,yes,add-core
59,Adrenaline,5816,20343,body-endogenous,neurotransmitter,,yes,,
60,Cannabidiol,644019,20069,plant-compound,terpenoid,,yes,,
61,Fexofenadine,3348,19871,otc-medicine,otc,yes,,,
62,Sucralose,71485,19789,sweetener,sweetener,,,,
63,Ephedrine,9294,19586,otc-medicine,otc,yes,,,
64,Camphor,2537,19275,scent-aroma,terpenoid,,yes,,
65,Propylene glycol,1030,18986,food-flavor,alcohol,,yes,,
66,Norepinephrine,439260,18877,body-endogenous,neurotransmitter,,yes,,
67,Loperamide,3955,18633,otc-medicine,otc,yes,,,
68,Magnesium sulfate,24083,18016,nutrient-vitamin,other,,yes,,
69,Doxylamine,3162,17926,otc-medicine,otc,yes,,,
70,Lactic acid,612,17400,food-flavor,organic-acid,,,,
71,Hyaluronic acid,24759,17007,body-endogenous,other,,,,
72,Xylitol,6912,16861,sweetener,sugar-alcohol,,,,
73,Theanine,439378,16349,plant-compound,amino-acid,,,,
74,Potassium chloride,4873,15865,food-flavor,other,,,,
75,Folate,135398658,15813,nutrient-vitamin,vitamin,,,,
76,Glutathione,124886,15569,body-endogenous,peptide,,,,
77,Acetylcholine,187,15464,body-endogenous,neurotransmitter,,,,
78,Thiamine,1130,15034,nutrient-vitamin,vitamin,,,,
79,Nitric oxide,145068,15018,body-endogenous,inorganic,,,yes,add-core
80,Oxalic acid,971,14969,plant-compound,organic-acid,,,,
81,Bilirubin,5280352,14734,body-endogenous,other,,,,
82,Chitin,6857375,14702,nutrient-vitamin,sugar,,,,
83,Biotin,171548,14576,nutrient-vitamin,vitamin,,,,
84,Menthol,16666,14426,food-flavor,terpenoid,,,,
85,Tryptophan,6305,14422,body-endogenous,amino-acid,,,,
86,Glycine,750,14419,body-endogenous,amino-acid,,,,
87,Nicotinamide,936,14270,nutrient-vitamin,vitamin,,,,
88,Clotrimazole,2812,14081,otc-medicine,otc,yes,,,
89,Retinol,445354,13859,nutrient-vitamin,vitamin,,,,
90,Berberine,2353,13752,plant-compound,alkaloid,,yes,,
91,Sodium nitrite,23668193,13748,food-flavor,other,,,,
92,Bismuth subsalicylate,16682734,13570,otc-medicine,otc,yes,,,
93,DEET,4284,13505,everyday-chemistry,amide,,,yes,add-core
94,Phenylephrine,6041,13455,otc-medicine,otc,yes,,,
95,Histamine,774,13445,body-endogenous,amine,,,,
96,Estradiol,5757,13444,body-endogenous,steroid-hormone,,yes,,
97,GABA,119,13329,body-endogenous,neurotransmitter,,,,
98,Adenosine,60961,13327,body-endogenous,nucleobase,,yes,,
99,Phenylalanine,6140,13086,body-endogenous,amino-acid,,,,
100,Progesterone,5994,13041,body-endogenous,steroid-hormone,,yes,,
101,Phosphoric acid,1004,12799,food-flavor,other,,,,
102,Calcium chloride,24854,12684,food-flavor,other,,,,
103,Ethyl acetate,8857,12608,food-flavor,ester,,yes,,
104,Fructose,5984,12446,sweetener,sugar,,,,
105,Uric acid,1175,12358,body-endogenous,other,,,,
106,Ethylene,6325,12319,plant-compound,alkene,,,yes,add-core
107,Theobromine,5429,12308,plant-compound,alkaloid,,yes,,
108,Choline,305,12168,nutrient-vitamin,amine,,,,
109,Dimenhydrinate,10660,12100,otc-medicine,otc,yes,,,
110,Guaifenesin,3516,11974,otc-medicine,otc,yes,,,
111,Lysine,866,11935,body-endogenous,amino-acid,,,,
112,Potassium iodide,4875,11825,nutrient-vitamin,other,,yes,,
113,Dihydrotestosterone,10635,11604,body-endogenous,steroid-hormone,,yes,,
114,Creatinine,26009888,11352,body-endogenous,other,,,,
115,Cholecalciferol,5280795,11336,nutrient-vitamin,vitamin,,,,
116,Acetaldehyde,177,11323,food-flavor,aldehyde,,,,
117,Arginine,28782,11180,body-endogenous,amino-acid,,,,
118,Inulin,24763,11139,nutrient-vitamin,sugar,,,,
119,Vasopressin,644077,11100,body-endogenous,peptide,,yes,,
120,Riboflavin,493570,10922,nutrient-vitamin,vitamin,,,,
121,5-Hydroxytryptophan,439280,10810,body-endogenous,amino-acid,,yes,,
122,Chlorphenamine,2725,10663,otc-medicine,otc,yes,,,
123,Ammonium chloride,25517,10551,food-flavor,other,,yes,,
124,Phenethylamine,1001,10341,body-endogenous,amine,,yes,,
125,Carmine,14950,10332,food-flavor,other,,,,
126,Curcumin,969516,10161,plant-compound,phenolic,,,,
127,Inositol,892,10102,nutrient-vitamin,sugar-alcohol,,,,
128,Saccharin,5143,9846,sweetener,sweetener,,,,
129,Solanine,9549171,9826,plant-compound,alkaloid,,,,
130,Butyric acid,264,9812,food-flavor,fatty-acid,,,,
